keyword,category,priority
Heimlich maneuver dogs,Emergency Care,low
snake bite dog first aid,Emergency Care,low
bee sting dog reaction,Emergency Care,low
burned paws treatment dogs,Emergency Care,low
frostbite dogs cold weather,Emergency Care,low
heatstroke dogs signs treatment,Emergency Care,low
Addisons disease dogs,Common Conditions,low
immune-mediated hemolytic anemia dogs,Common Conditions,low
intervertebral disc disease dogs,Orthopedic,low
degenerative myelopathy dogs,Orthopedic,low
dilated cardiomyopathy dogs,Heart Health,low
heart murmur dogs explained,Heart Health,low
congestive heart failure dogs,Heart Health,low
hyperthyroidism cats treatment,Common Conditions,low
feline infectious peritonitis FIP,Infectious Disease,low
